127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001054
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001579
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000464
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.003764
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002713
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.009789
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001125
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001135
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000398
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001445
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000415
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001561
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001735
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000413
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001174
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001011
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001193
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002729
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000418
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002973
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001143
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001668
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001542
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000453
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000859
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000402
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/js/ajax_editor.js, HTTP/1.1, 200, 0.001537
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000696
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/js/typeahead.min.js, HTTP/1.1, 200, 0.002159
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/images/files_toggle.png, HTTP/1.1, 200, 0.000328
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000358
127.0.0.1, 2015-08-05 14:23:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000147
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.040038
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.066419
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.110804
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114583
127.0.0.1, 2015-08-05 14:23:57, GET, /admin/static/_2.11.2/images/save_icon.png, HTTP/1.1, 200, 0.000683
127.0.0.1, 2015-08-05 14:23:57, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.118139
127.0.0.1, 2015-08-05 14:23:57, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.177725
127.0.0.1, 2015-08-05 14:25:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079930
127.0.0.1, 2015-08-05 14:25:01, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.076453
127.0.0.1, 2015-08-05 14:26:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077262
127.0.0.1, 2015-08-05 14:26:02, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.067248
127.0.0.1, 2015-08-05 14:27:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070428
127.0.0.1, 2015-08-05 14:27:03, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.065215
127.0.0.1, 2015-08-05 14:28:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.064391
127.0.0.1, 2015-08-05 14:28:08, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.078107
127.0.0.1, 2015-08-05 14:29:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.105734
127.0.0.1, 2015-08-05 14:29:13, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.200458
127.0.0.1, 2015-08-05 14:30:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077505
127.0.0.1, 2015-08-05 14:30:13, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.096624
127.0.0.1, 2015-08-05 14:30:51, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.027028
127.0.0.1, 2015-08-05 14:30:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.007497
127.0.0.1, 2015-08-05 14:31:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050562
127.0.0.1, 2015-08-05 14:31:12, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.174000
127.0.0.1, 2015-08-05 14:31:45, POST, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.043423
127.0.0.1, 2015-08-05 14:31:52, GET, /admin/default/site, HTTP/1.1, 200, 0.085399
127.0.0.1, 2015-08-05 14:31:52, GET, /admin/static/_2.11.2/images/folder.png, HTTP/1.1, 200, 0.003678
127.0.0.1, 2015-08-05 14:31:52, GET, /admin/static/_2.11.2/images/folder_locked.png, HTTP/1.1, 200, 0.002055
127.0.0.1, 2015-08-05 14:31:52, GET, /admin/static/_2.11.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000580
127.0.0.1, 2015-08-05 14:31:53, POST, /admin/default/check_version, HTTP/1.1, 200, 0.427821
127.0.0.1, 2015-08-05 14:31:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2015-08-05 14:31:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.290728
127.0.0.1, 2015-08-05 14:32:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.082835
127.0.0.1, 2015-08-05 14:32:13, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.011026
127.0.0.1, 2015-08-05 14:32:27, POST, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.032950
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.069748
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000602
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002197
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003738
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001418
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.004589
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003721
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001160
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001105
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002276
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000361
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.004119
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000856
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000884
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000824
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002188
127.0.0.1, 2015-08-05 14:32:29, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000830
127.0.0.1, 2015-08-05 14:33:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.094740
127.0.0.1, 2015-08-05 14:33:19, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.203163
127.0.0.1, 2015-08-05 14:34:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062157
127.0.0.1, 2015-08-05 14:34:20, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.210663
127.0.0.1, 2015-08-05 14:35:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044371
127.0.0.1, 2015-08-05 14:35:30, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.171626
127.0.0.1, 2015-08-05 14:36:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.087205
127.0.0.1, 2015-08-05 14:36:43, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.924322
127.0.0.1, 2015-08-05 14:49:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055176
127.0.0.1, 2015-08-05 14:49:45, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.149405
127.0.0.1, 2015-08-05 14:50:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062601
127.0.0.1, 2015-08-05 14:50:47, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.173241
127.0.0.1, 2015-08-05 14:51:48, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.069925
127.0.0.1, 2015-08-05 14:51:48, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.200503
127.0.0.1, 2015-08-05 14:52:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051309
127.0.0.1, 2015-08-05 14:52:53, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.151612
127.0.0.1, 2015-08-05 14:53:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.090973
127.0.0.1, 2015-08-05 14:54:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.965401
127.0.0.1, 2015-08-05 14:55:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051372
127.0.0.1, 2015-08-05 14:55:10, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.145911
127.0.0.1, 2015-08-05 14:56:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047255
127.0.0.1, 2015-08-05 14:56:20, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.152010
127.0.0.1, 2015-08-05 16:36:30, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.015265
127.0.0.1, 2015-08-05 16:36:30, GET, /admin/default/index.load, HTTP/1.1, 404, 0.038640
127.0.0.1, 2015-08-05 16:36:30, GET, /welcome/appadmin/hooks, HTTP/1.1, 303, 0.076989
127.0.0.1, 2015-08-05 16:36:30, GET, /admin/default/index, HTTP/1.1, 200, 0.047272
127.0.0.1, 2015-08-05 16:36:30, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.000561
